City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bethel,US,90.0,1554162960.0,76.0,60.79,-161.76,46.4,6.93
Mahebourg,MU,20.0,1554167341.0,88.0,-20.41,57.7,75.99,3.36
Kamenka,RU,0.0,1554166081.0,66.0,53.19,44.05,37.99,7.16
Yellowknife,CA,75.0,1554167423.0,57.0,62.45,-114.38,23.0,21.92
Saint George,BM,90.0,1554166911.0,88.0,32.38,-64.68,68.0,13.87
Avarua,CK,36.0,1554165000.0,74.0,-21.21,-159.78,80.6,9.17
Lebu,CL,12.0,1554167708.0,95.0,-37.62,-73.65,55.21,10.29
Kapaa,US,90.0,1554167595.0,73.0,22.08,-159.32,78.8,11.41
Hanyang,CN,92.0,1554167550.0,77.0,32.14,105.51,60.01,2.68
Vaini,TO,20.0,1554163200.0,70.0,-21.2,-175.2,84.2,10.29
Samana,DO,,,,,,,
Barrow,US,1.0,1554167710.0,56.0,39.51,-90.4,48.2,8.05
Labutta,MM,,,,,,,
Mataura,PF,,,,,,,
Cape Town,ZA,0.0,1554167591.0,62.0,-33.93,18.42,60.01,16.11
Roald,NO,48.0,1554167702.0,69.0,62.58,6.12,37.99,8.05
Karamea,NZ,,,,,,,
Mys Shmidta,RU,,,,,,,
Ribeira Grande,PT,36.0,1554167723.0,100.0,38.52,-28.7,59.53,24.38
Torbay,CA,90.0,1554167718.0,100.0,47.66,-52.73,48.99,17.22
Ushuaia,AR,75.0,1554163200.0,76.0,-54.81,-68.31,53.6,13.87
Jamestown,SH,88.0,1554167727.0,100.0,-15.94,-5.72,76.63,17.45
Mujiayingzi,CN,0.0,1554167728.0,40.0,42.12,118.78,31.18,6.82
Belyy Yar,RU,0.0,1554165000.0,79.0,53.6,91.39,24.8,4.47
Upernavik,GL,76.0,1554167731.0,100.0,72.79,-56.15,16.42,7.16
Albany,AU,75.0,1554163200.0,87.0,-35.02,117.88,60.8,8.05
Hilo,US,90.0,1554167540.0,65.0,19.71,-155.08,78.8,8.05
Ilulissat,GL,0.0,1554162600.0,40.0,69.22,-51.1,15.8,12.75
Verkhnevilyuysk,RU,12.0,1554167736.0,74.0,63.45,120.31,23.53,5.59
Qaanaaq,GL,0.0,1554167737.0,74.0,77.48,-69.36,-3.56,7.49
Kadykchan,RU,,,,,,,
Taolanaro,MG,,,,,,,
Kushima,JP,20.0,1554166945.0,57.0,31.5,131.29,55.4,6.93
Tiksi,RU,44.0,1554167742.0,77.0,71.64,128.87,14.17,3.24
Qurayyat,OM,,,,,,,
Carnarvon,AU,80.0,1554163200.0,78.0,-24.87,113.63,78.8,8.05
Rio Grande,BR,8.0,1554167746.0,87.0,-32.03,-52.1,71.77,9.73
Shingu,JP,20.0,1554163200.0,49.0,33.72,135.99,46.4,6.93
Sao Filipe,CV,0.0,1554167749.0,99.0,14.9,-24.5,70.24,13.31
Ranong,TH,20.0,1554163200.0,94.0,9.96,98.62,77.0,4.81
Tasiilaq,GL,44.0,1554162600.0,68.0,65.61,-37.64,24.8,12.75
Brejo Da Madre De Deus,BR,48.0,1554167752.0,85.0,-8.14,-36.37,71.59,5.7
Bosaso,SO,0.0,1554167754.0,100.0,11.28,49.18,79.33,6.26
Kawana Waters,AU,,,,,,,
Hermanus,ZA,0.0,1554167716.0,90.0,-34.42,19.24,59.0,5.26
Sambava,MG,88.0,1554167757.0,100.0,-14.27,50.17,80.77,6.6
Port Elizabeth,ZA,75.0,1554163200.0,87.0,-33.92,25.57,59.0,5.82
Dingle,IE,64.0,1554167760.0,100.0,52.14,-10.27,46.3,17.11
Marcona,PE,,,,,,,
Lavrentiya,RU,36.0,1554167762.0,100.0,65.58,-170.99,27.67,1.68
Verkhnyaya Inta,RU,80.0,1554167764.0,75.0,65.99,60.32,26.23,8.39
Guerrero Negro,MX,0.0,1554167765.0,29.0,27.97,-114.04,77.62,8.72
Punta Arenas,CL,90.0,1554167547.0,93.0,-53.16,-70.91,50.0,11.41
Coihaique,CL,44.0,1554163200.0,81.0,-45.58,-72.07,53.6,27.51
Rikitea,PF,0.0,1554167752.0,100.0,-23.12,-134.97,76.27,14.99
Kanigoro,ID,76.0,1554167770.0,97.0,-8.13,112.22,79.87,3.24
Caravelas,BR,8.0,1554167762.0,100.0,-17.73,-39.27,80.86,12.19
Luderitz,NA,0.0,1554167773.0,76.0,-26.65,15.16,59.35,17.78
Otradnoye,RU,0.0,1554167736.0,74.0,59.77,30.8,36.0,8.95
Hobart,AU,75.0,1554167655.0,51.0,-42.88,147.33,61.0,10.29
Strezhevoy,RU,75.0,1554165000.0,92.0,60.73,77.6,33.8,20.13
Bredasdorp,ZA,80.0,1554167764.0,89.0,-34.53,20.04,53.01,10.4
Kupang,ID,75.0,1554165000.0,66.0,-10.16,123.6,87.8,4.7
Busselton,AU,0.0,1554167406.0,45.0,-33.64,115.35,70.0,6.82
Maumere,ID,0.0,1554167782.0,100.0,-8.63,122.22,82.21,3.36
Moju,BR,75.0,1554166800.0,94.0,-1.89,-48.77,77.0,5.82
Pathein,MM,0.0,1554167784.0,92.0,16.78,94.73,73.12,4.92
Lexington,US,1.0,1554167585.0,55.0,38.05,-84.5,43.0,8.05
Gimbi,ET,64.0,1554167787.0,81.0,8.81,37.79,54.4,3.02
Baishishan,CN,24.0,1554167788.0,33.0,43.58,127.55,31.45,4.25
Airai,PW,,,,,,,
Marquette,US,90.0,1554167580.0,81.0,46.54,-87.4,33.01,8.05
Hithadhoo,MV,68.0,1554167756.0,100.0,-0.6,73.08,82.3,7.72
Roma,AU,0.0,1554167793.0,51.0,-26.57,148.79,73.12,8.16
Saskylakh,RU,44.0,1554167794.0,71.0,71.97,114.09,14.35,7.72
Rawlins,US,90.0,1554166827.0,44.0,41.79,-107.24,44.6,16.11
Puerto Baquerizo Moreno,EC,40.0,1554163200.0,78.0,-0.9,-89.6,82.4,6.93
Torbat-E Jam,IR,56.0,1554167798.0,90.0,35.24,60.63,48.19,5.26
Atuona,PF,36.0,1554167793.0,100.0,-9.8,-139.03,82.39,10.51
Sentyabrskiy,RU,,,,,,,
Dikson,RU,88.0,1554167802.0,100.0,73.51,80.55,26.5,26.28
Jumla,NP,0.0,1554167803.0,95.0,29.28,82.18,20.11,1.68
Victoria,SC,20.0,1554163200.0,83.0,-4.62,55.45,80.6,3.36
Khash,IR,36.0,1554167806.0,64.0,28.22,61.21,51.79,2.57
Salalah,OM,20.0,1554162600.0,74.0,17.01,54.1,78.8,3.24
Nikolskoye,RU,0.0,1554167736.0,74.0,59.7,30.79,36.0,8.95
Sevenoaks,GB,75.0,1554167805.0,87.0,51.27,0.19,45.0,3.58
Trapani,IT,20.0,1554167772.0,93.0,38.02,12.54,55.4,2.24
Qiongshan,CN,75.0,1554163200.0,83.0,20.01,110.35,77.0,11.18
Biltine,TD,0.0,1554167814.0,33.0,14.53,20.93,70.42,6.93
Macaboboni,PH,,,,,,,
Bluff,NZ,80.0,1554167404.0,79.0,-46.6,168.33,53.01,4.0
Vila Franca Do Campo,PT,40.0,1554167815.0,67.0,37.72,-25.43,57.2,17.22
Shetpe,KZ,92.0,1554167819.0,95.0,44.14,52.16,44.05,10.96
Berlevag,NO,88.0,1554167820.0,100.0,70.86,29.09,29.92,13.65
Vaitupu,WF,,,,,,,
East London,ZA,88.0,1554167540.0,100.0,-33.02,27.91,64.3,17.78
Puerto Ayora,EC,20.0,1554167717.0,74.0,-0.74,-90.35,82.4,10.29
Leh,IN,20.0,1554167825.0,84.0,34.16,77.58,-2.03,1.23
Secunda,ZA,92.0,1554167805.0,96.0,-26.52,29.2,57.99,5.99
Santa Maria,CV,75.0,1554166800.0,64.0,16.6,-22.9,69.8,9.17
Balimo,PG,,,,,,,
Tsihombe,MG,,,,,,,
Touros,BR,80.0,1554167831.0,100.0,-5.2,-35.46,77.89,7.16
Prince Rupert,CA,1.0,1554163200.0,53.0,54.32,-130.32,64.4,9.17
Tuatapere,NZ,92.0,1554167404.0,79.0,-46.13,167.69,53.01,4.0
Gizo,SB,68.0,1554167835.0,100.0,-8.1,156.84,82.93,3.69
Tarudant,MA,,,,,,,
Coffs Harbour,AU,75.0,1554167598.0,93.0,-30.3,153.13,66.99,11.41
Tabiauea,KI,,,,,,,
Buala,SB,88.0,1554167840.0,100.0,-8.15,159.59,79.24,4.7
Chateaubelair,VC,40.0,1554167723.0,78.0,13.28,-61.25,78.8,11.41
Nador,MA,0.0,1554165000.0,76.0,35.17,-2.93,55.4,3.36
Pangoa,PE,20.0,1554167844.0,93.0,-12.12,-73.0,70.87,2.01
Adrar,DZ,0.0,1554166800.0,45.0,27.87,-0.29,64.4,16.11
Souillac,MU,20.0,1554167642.0,94.0,-20.52,57.52,75.99,3.36
Kaspiysk,RU,90.0,1554165000.0,93.0,42.88,47.64,44.6,8.95
Edd,ER,8.0,1554167766.0,91.0,13.93,41.69,68.8,2.57
Kaitangata,NZ,92.0,1554167762.0,73.0,-46.28,169.85,52.0,8.01
Castro,CL,90.0,1554163200.0,100.0,-42.48,-73.76,51.8,12.75
Ketchikan,US,1.0,1554162960.0,50.0,55.34,-131.65,64.4,20.8
Cap Malheureux,MU,20.0,1554167642.0,94.0,-19.98,57.61,75.99,3.36
Kirovskiy,RU,8.0,1554167856.0,62.0,45.09,133.51,29.92,3.36
Naantali,FI,0.0,1554167786.0,80.0,60.45,22.03,34.0,5.82
Chacaltianguis,MX,20.0,1554167768.0,74.0,18.3,-95.84,71.01,1.99
Udachnyy,RU,68.0,1554167860.0,86.0,66.42,112.4,31.72,5.37
Narsaq,GL,92.0,1554166200.0,58.0,60.91,-46.05,26.6,4.7
Quatre Cocos,MU,20.0,1554167642.0,94.0,-20.21,57.76,75.99,3.36
Eregli,TR,88.0,1554167864.0,95.0,37.51,34.05,39.37,3.13
Pontianak,ID,40.0,1554165000.0,88.0,-0.02,109.34,78.8,3.36
Nchelenge,ZM,64.0,1554167866.0,96.0,-9.35,28.74,66.28,3.36
Zhanakorgan,KZ,0.0,1554167868.0,84.0,43.91,67.25,33.52,2.91
Korla,CN,8.0,1554167826.0,72.0,41.76,86.15,37.99,3.0
Lompoc,US,1.0,1554167868.0,77.0,34.64,-120.46,73.0,12.75
Barentsburg,SJ,,,,,,,
Saint-Joseph,RE,0.0,1554167741.0,69.0,-21.37,55.62,77.0,5.82
Arman,RU,88.0,1554167874.0,75.0,59.7,150.17,28.75,10.63
Suntar,RU,24.0,1554167876.0,66.0,62.16,117.65,26.05,7.49
Sinnamary,GF,92.0,1554167877.0,96.0,5.38,-52.96,79.78,10.4
Beringovskiy,RU,88.0,1554167878.0,99.0,63.05,179.32,31.99,9.4
Port Alfred,ZA,92.0,1554167689.0,93.0,-33.59,26.89,57.99,9.84
Burica,PA,,,,,,,
Viedma,AR,44.0,1554167585.0,43.0,-40.81,-62.99,79.06,12.75
Georgetown,SH,75.0,1554166200.0,74.0,-7.93,-14.42,80.6,11.41
Axim,GH,12.0,1554167885.0,97.0,4.87,-2.24,83.38,10.63
Illoqqortoormiut,GL,,,,,,,
Chilca,PE,40.0,1554165000.0,62.0,-13.22,-72.34,57.2,4.7
Clyde River,CA,90.0,1554163800.0,77.0,70.47,-68.59,-2.21,13.87
Khatanga,RU,92.0,1554167890.0,94.0,71.98,102.47,31.0,8.39
Saint-Georges,GF,,,,,,,
Promysla,RU,,,,,,,
Sao Joao Da Barra,BR,48.0,1554167779.0,100.0,-21.64,-41.05,78.25,10.07
Te Anau,NZ,80.0,1554167895.0,82.0,-45.41,167.72,46.57,3.47
Bengkulu,ID,,,,,,,
Umzimvubu,ZA,,,,,,,
Samusu,WS,,,,,,,
Birao,CF,0.0,1554167899.0,32.0,10.3,22.78,72.13,6.71
Sitka,US,0.0,1554167782.0,44.0,37.17,-99.65,54.0,8.84
Ayan,RU,,,,,,,
San Patricio,MX,20.0,1554166080.0,83.0,19.22,-104.7,77.0,3.58
Vardo,NO,0.0,1554167905.0,100.0,70.37,31.11,32.71,20.02
Kavieng,PG,92.0,1554167906.0,95.0,-2.57,150.8,85.36,9.06
Beyneu,KZ,92.0,1554167907.0,67.0,45.32,55.19,45.4,17.67
Hamilton,AU,76.0,1554167909.0,70.0,-37.74,142.02,58.45,8.16
Butaritari,KI,80.0,1554167910.0,100.0,3.07,172.79,83.29,10.96
Laguna,BR,,,,,,,
Cherskiy,RU,48.0,1554167912.0,76.0,68.75,161.3,27.67,6.15
Kodiak,US,1.0,1554167885.0,14.0,39.95,-94.76,51.01,9.17
Palmer,US,1.0,1554167885.0,37.0,61.6,-149.11,52.0,8.05
Tuktoyaktuk,CA,75.0,1554163200.0,84.0,69.44,-133.03,8.6,9.17
Cidreira,BR,0.0,1554167918.0,81.0,-30.17,-50.22,73.57,12.64
Iqaluit,CA,20.0,1554167522.0,59.0,63.75,-68.52,1.0,5.82
Broome,AU,40.0,1554165000.0,83.0,-17.97,122.23,84.2,8.05
Patacamaya,BO,92.0,1554167900.0,96.0,-17.23,-67.92,44.77,4.25
Bukowno,PL,0.0,1554167920.0,64.0,50.27,19.46,37.99,13.87
Farafangana,MG,12.0,1554167924.0,100.0,-22.82,47.83,77.08,4.36
Belushya Guba,RU,,,,,,,
Zolotinka,RU,,,,,,,
Geraldton,AU,75.0,1554165000.0,78.0,-28.77,114.6,73.4,16.11
Bernburg,DE,0.0,1554167882.0,69.0,51.79,11.74,41.0,12.75
Kangaatsiaq,GL,0.0,1554167930.0,100.0,68.31,-53.46,17.41,13.76
Turukhansk,RU,68.0,1554167931.0,94.0,65.8,87.96,26.5,8.5
Bathsheba,BB,40.0,1554163200.0,73.0,13.22,-59.52,77.0,16.11
New Norfolk,AU,75.0,1554167895.0,51.0,-42.78,147.06,62.01,10.29
Katsuura,JP,20.0,1554167056.0,42.0,33.93,134.5,48.99,10.29
Ewa Beach,US,1.0,1554167823.0,54.0,21.32,-158.01,80.6,11.41
Taoudenni,ML,0.0,1554167938.0,40.0,22.68,-3.98,60.07,3.13
Redondo,PT,0.0,1554167939.0,90.0,38.65,-7.55,45.58,3.13
Urdzhar,KZ,,,,,,,
Pafos,CY,,,,,,,
Pangnirtung,CA,8.0,1554167891.0,70.0,66.15,-65.72,-2.39,3.91
Yuli,TW,,,,,,,
Morant Bay,JM,40.0,1554166800.0,69.0,17.88,-76.41,82.4,11.41
Malwan,IN,,,,,,,
Talnakh,RU,92.0,1554167948.0,93.0,69.49,88.39,24.07,9.62
Alta Floresta,BR,36.0,1554167949.0,88.0,-9.87,-56.08,79.42,1.57
Saleaula,WS,,,,,,,
Krasnoselkup,RU,,,,,,,
Yuzhno-Yeniseyskiy,RU,,,,,,,
Rundu,NA,32.0,1554167954.0,48.0,-17.91,19.77,74.2,8.28
Sobolevo,RU,8.0,1554167955.0,73.0,54.43,31.9,25.33,5.03
Hasaki,JP,20.0,1554167077.0,49.0,35.73,140.83,48.0,14.99
Bacuit,PH,,,,,,,
Yumen,CN,48.0,1554167959.0,48.0,40.29,97.04,40.9,8.84
Juifang,TW,,,,,,,
Arraial Do Cabo,BR,48.0,1554167921.0,100.0,-22.97,-42.02,74.11,5.7
Yatou,CN,92.0,1554167963.0,100.0,33.81,104.32,35.5,1.9
Luocheng,CN,92.0,1554167964.0,87.0,28.29,114.55,54.22,4.36
Bambous Virieux,MU,20.0,1554167642.0,88.0,-20.34,57.76,75.99,3.36
Tambopata,PE,,,,,,,
Zhuji,CN,0.0,1554167573.0,58.0,29.72,120.23,59.0,2.24
Lhokseumawe,ID,76.0,1554167969.0,100.0,5.18,97.15,80.23,1.01
Srednekolymsk,RU,68.0,1554167971.0,79.0,67.46,153.71,17.05,3.36
Babu,CN,68.0,1554167972.0,96.0,23.23,104.89,59.44,2.91
Chokurdakh,RU,0.0,1554167973.0,91.0,70.62,147.9,5.89,11.74
Aswan,EG,0.0,1554163200.0,25.0,24.09,32.9,60.8,3.36
Richards Bay,ZA,92.0,1554167976.0,93.0,-28.77,32.06,67.0,12.3
Vila Velha,BR,40.0,1554167888.0,88.0,-3.71,-38.6,77.0,5.82
Saldanha,ZA,8.0,1554167979.0,71.0,-33.01,17.94,58.27,17.22
Senador Guiomard,BR,40.0,1554163200.0,100.0,-10.15,-67.74,77.0,2.24
Egvekinot,RU,20.0,1554167981.0,93.0,66.32,-179.17,29.65,3.24
Cockburn Town,TC,0.0,1554167775.0,100.0,21.46,-71.14,77.8,13.76
Yerbogachen,RU,88.0,1554167984.0,78.0,61.28,108.01,32.35,13.53
Birnin Kebbi,NG,20.0,1554167985.0,41.0,12.45,4.2,77.62,4.25
Bauchi,NG,8.0,1554167986.0,38.0,10.31,9.85,68.17,5.48
Thompson,CA,90.0,1554164880.0,86.0,55.74,-97.86,30.2,8.05
Mahon,ES,,,,,,,
Gunjur,GM,0.0,1554163200.0,68.0,13.18,-16.76,71.6,8.05
Areosa,PT,0.0,1554167953.0,93.0,41.72,-8.86,57.0,2.57
Elat,IL,,,,,,,
Hovd,MN,12.0,1554167994.0,72.0,48.01,91.64,21.91,1.45
Svendborg,DK,0.0,1554167946.0,80.0,55.06,10.61,41.0,14.99
Ngukurr,AU,,,,,,,
Warwick,AU,0.0,1554166804.0,81.0,-28.22,152.03,63.0,8.99
Caraquet,CA,1.0,1554167746.0,45.0,47.79,-64.94,27.0,25.28
Belfast,ZA,68.0,1554168000.0,93.0,-25.69,30.03,58.81,8.16
Santo Antonio Do Sudoeste,BR,48.0,1554168001.0,87.0,-26.07,-53.73,72.85,1.57
Henderson,US,75.0,1554167766.0,11.0,36.04,-114.98,75.2,10.29
Nanortalik,GL,92.0,1554168004.0,100.0,60.14,-45.24,26.95,28.52
Mar Del Plata,AR,0.0,1554168006.0,57.0,-46.43,-67.52,67.27,26.84
Lagdo,CM,0.0,1554163200.0,19.0,9.06,13.67,89.6,8.05
Trairi,BR,48.0,1554168008.0,100.0,-3.28,-39.27,78.97,6.6
Timmins,CA,90.0,1554163200.0,50.0,48.48,-81.33,33.8,11.41
Tumannyy,RU,,,,,,,
Praia,CV,0.0,1554166800.0,68.0,14.92,-23.51,69.8,11.41
Wenling,CN,24.0,1554167846.0,70.0,28.38,121.38,61.0,1.99
Acarau,BR,,,,,,,
Kletskaya,RU,88.0,1554168016.0,86.0,49.31,43.06,38.65,3.02
Inirida,CO,12.0,1554168017.0,92.0,3.87,-67.92,77.35,2.01
Parichhatgarh,IN,0.0,1554168018.0,65.0,28.98,77.93,62.23,4.36
Cayenne,GF,75.0,1554165000.0,83.0,4.94,-52.33,78.8,3.36
Komsomolskiy,RU,80.0,1554168021.0,91.0,67.55,63.78,24.25,16.89
Novyy Urengoy,RU,56.0,1554168022.0,86.0,66.08,76.63,23.26,7.72
Hay River,CA,40.0,1554163200.0,39.0,60.82,-115.79,32.0,16.11
Esperance,AU,90.0,1554165000.0,93.0,-33.86,121.89,64.4,8.05
Kichera,RU,88.0,1554168026.0,83.0,55.93,110.1,20.02,1.57
Alyangula,AU,20.0,1554163200.0,74.0,-13.85,136.42,84.2,9.17
Terrace,CA,5.0,1554163200.0,22.0,54.52,-128.61,64.4,9.17
Stavern,NO,92.0,1554168010.0,100.0,59.0,10.03,39.2,8.05
Taywarah,AF,80.0,1554168031.0,81.0,33.35,64.42,32.17,2.24
Bac Can,VN,,,,,,,
Dangriga,BZ,0.0,1554167737.0,78.0,16.97,-88.23,80.6,6.93
Yaan,CN,,,,,,,
Mecca,SA,0.0,1554168036.0,55.0,21.43,39.83,50.8,3.13
Longyearbyen,SJ,20.0,1554166200.0,60.0,78.22,15.64,10.4,10.29
Xian,CN,0.0,1554163200.0,52.0,34.26,108.93,57.2,11.18
Khorixas,NA,0.0,1554168040.0,83.0,-20.37,14.96,67.72,1.68
Skjervoy,NO,76.0,1554168042.0,100.0,70.03,20.97,32.62,13.42
Liverpool,CA,24.0,1554167825.0,57.0,44.04,-64.71,34.0,11.99
Viligili,MV,,,,,,,
Whitehorse,CA,5.0,1554167702.0,24.0,60.72,-135.06,57.0,5.82
Shimoda,JP,20.0,1554163200.0,100.0,34.7,138.93,50.0,8.05
Palabuhanratu,ID,,,,,,,
Lolua,TV,,,,,,,
Tateyama,JP,75.0,1554167994.0,91.0,36.66,137.31,43.0,6.93
Venkatagiri,IN,20.0,1554165000.0,78.0,13.96,79.58,80.6,13.87
Gornopravdinsk,RU,92.0,1554168053.0,94.0,60.06,69.92,33.25,16.78
Santa Isabel,MX,40.0,1554167783.0,9.0,32.63,-115.58,86.0,5.82
Balykshi,KZ,,,,,,,
Uusikaupunki,FI,0.0,1554166200.0,80.0,60.8,21.41,33.8,5.82
Kavaratti,IN,20.0,1554168058.0,100.0,10.57,72.64,83.2,9.73
Kudahuvadhoo,MV,56.0,1554168060.0,100.0,2.67,72.89,83.11,4.7
Saint-Augustin,CA,20.0,1554168014.0,56.0,45.63,-73.98,34.0,9.17
Huangmei,CN,92.0,1554168062.0,79.0,30.1,115.95,56.2,7.38
Ahipara,NZ,32.0,1554167971.0,84.0,-35.17,173.16,68.35,14.65
Opunake,NZ,8.0,1554167832.0,42.0,-39.45,173.86,70.0,10.0
Basoko,CD,44.0,1554168066.0,93.0,1.23,23.61,76.0,4.7
Koshurnikovo,RU,0.0,1554168067.0,76.0,54.3,93.39,17.23,2.24
Great Bend,US,75.0,1554167783.0,43.0,38.36,-98.78,57.2,12.75
Bengbu,CN,92.0,1554168070.0,72.0,32.92,117.38,56.02,4.7
Mitchell,US,90.0,1554167704.0,85.0,43.71,-98.03,32.0,5.82
Ciudad Bolivar,VE,0.0,1554168008.0,38.0,8.12,-63.55,90.13,14.43
Yarke Pole,UA,44.0,1554168074.0,68.0,45.61,34.32,44.32,12.75
Kalmunai,LK,0.0,1554168075.0,100.0,7.42,81.82,73.75,3.24
Sangmelima,CM,56.0,1554168076.0,95.0,2.93,11.98,69.79,2.68
Lorengau,PG,12.0,1554167959.0,92.0,-2.02,147.27,85.0,11.18
Pierre,US,90.0,1554167896.0,86.0,44.37,-100.35,37.0,5.82
Akdepe,TM,0.0,1554165000.0,62.0,42.05,59.39,51.8,20.8
Vryburg,ZA,8.0,1554168081.0,59.0,-26.96,24.73,65.02,3.47
Nizhneyansk,RU,,,,,,,
Kavali,IN,0.0,1554168084.0,92.0,14.91,79.99,75.82,7.38
Sayat,TM,0.0,1554163200.0,71.0,38.78,63.88,57.2,6.93
Tiznit,MA,56.0,1554168086.0,93.0,29.7,-9.73,55.84,1.68
Pevek,RU,0.0,1554167951.0,81.0,69.7,170.27,26.23,16.22
