City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ponta Delgada,PT,40.0,1554168055.0,67.0,37.73,-25.67,57.2,17.22
Sioux Lookout,CA,75.0,1554163200.0,55.0,50.1,-91.92,33.8,11.41
Nazarovo,RU,8.0,1554168091.0,76.0,56.01,90.42,20.2,6.6
Seoul,KR,1.0,1554165600.0,52.0,37.57,126.98,44.6,2.24
Sur,OM,12.0,1554168094.0,77.0,22.57,59.53,80.41,7.61
Amderma,RU,,,,,,,
Kayerkan,RU,80.0,1554168096.0,92.0,69.35,87.76,23.53,11.86
Vitim,RU,92.0,1554168000.0,89.0,59.44,112.57,33.79,8.95
Kayes,ML,0.0,1554168099.0,40.0,14.44,-11.44,80.77,7.38
Grande-Riviere,CA,,,,,,,
Porto Velho,BR,20.0,1554163200.0,74.0,-8.75,-63.87,80.6,2.46
Soc Trang,VN,20.0,1554165000.0,78.0,9.6,105.98,82.4,4.7
Livadiya,RU,0.0,1554168104.0,100.0,42.87,132.68,34.42,14.54
Sistranda,NO,0.0,1554167760.0,93.0,63.73,8.83,37.0,10.29
Borgo San Lorenzo,IT,0.0,1554168089.0,58.0,43.95,11.39,57.0,2.24
Witbank,ZA,76.0,1554168108.0,87.0,-25.87,29.23,61.69,11.18
Osoyoos,CA,1.0,1554166380.0,15.0,49.03,-119.47,66.2,9.17
Butterworth,ZA,12.0,1554168111.0,75.0,-32.33,28.14,48.73,3.8
Sinop,TR,88.0,1554167888.0,96.0,42.03,35.15,47.65,18.45
Bowen,AU,40.0,1554167884.0,65.0,-20.01,148.25,81.0,17.22
Quebo,GW,,,,,,,
La Union,PE,8.0,1554168115.0,68.0,-11.38,-75.75,51.16,1.68
Ponta Do Sol,CV,20.0,1554166800.0,60.0,17.2,-25.09,69.8,13.87
Bolungarvik,IS,,,,,,,
Ostrovnoy,RU,76.0,1554168119.0,87.0,68.05,39.51,24.7,17.78
Marienburg,SR,20.0,1554167712.0,69.0,5.88,-55.04,80.6,4.7
North Bend,US,90.0,1554168024.0,93.0,43.41,-124.22,55.0,3.36
Aguimes,ES,20.0,1554168032.0,72.0,27.91,-15.45,62.6,5.82
Derzhavinsk,KZ,0.0,1554168124.0,84.0,51.1,66.31,24.79,4.81
Sakakah,SA,,,,,,,
Xam Nua,LA,88.0,1554168127.0,98.0,20.42,104.04,60.61,2.13
Soyo,AO,0.0,1554168128.0,89.0,-6.13,12.37,81.49,6.38
Constitucion,MX,5.0,1554167417.0,6.0,23.99,-104.67,78.8,11.41
Nampula,MZ,20.0,1554168131.0,94.0,-15.12,39.26,63.22,2.46
Mehamn,NO,88.0,1554168132.0,86.0,71.03,27.85,29.38,13.2
Saint-Philippe,RE,0.0,1554167741.0,69.0,-21.36,55.77,77.0,8.05
Mergui,MM,,,,,,,
Lieksa,FI,76.0,1554168136.0,82.0,63.32,30.02,31.63,7.05
Hami,CN,32.0,1554168137.0,54.0,42.84,93.51,47.29,8.16
Alim,PH,0.0,1554168139.0,93.0,9.56,122.49,80.05,6.93
Severo-Kurilsk,RU,80.0,1554168044.0,98.0,50.68,156.12,30.55,8.39
Manoel Urbano,BR,12.0,1554168141.0,81.0,-8.84,-69.26,82.3,2.35
Ginir,ET,0.0,1554168142.0,75.0,7.14,40.71,55.75,2.57
Athens,US,1.0,1554168061.0,42.0,33.96,-83.39,53.01,5.82
Los Llanos De Aridane,ES,75.0,1554168070.0,72.0,28.66,-17.92,59.0,10.29
Okha,RU,36.0,1554168146.0,99.0,53.59,142.95,21.28,8.84
Omboue,GA,24.0,1554168148.0,99.0,-1.57,9.26,84.37,11.18
Fare,PF,76.0,1554168149.0,99.0,-16.7,-151.02,84.73,8.39
Rorvik,NO,88.0,1554168001.0,76.0,64.86,11.24,37.99,5.01
Barbar,SD,,,,,,,
Karakol,KG,20.0,1554168153.0,99.0,42.49,78.39,24.97,1.23
Aklavik,CA,75.0,1554165900.0,62.0,68.22,-135.01,23.0,10.29
Artesia,US,1.0,1554168009.0,23.0,32.84,-104.4,64.4,16.11
Mogok,MM,44.0,1554168157.0,88.0,22.92,96.51,62.86,1.23
Hukuntsi,BW,0.0,1554168158.0,85.0,-23.98,21.76,61.6,2.91
Klaksvik,FO,44.0,1554166200.0,100.0,62.23,-6.59,32.0,11.3
Nalut,LY,0.0,1554168161.0,83.0,31.86,10.98,51.7,6.93
Porto Torres,IT,0.0,1554168123.0,93.0,40.84,8.4,48.99,1.12
Sidney,US,40.0,1554167939.0,52.0,41.14,-102.98,46.4,11.41
San Javier,BO,0.0,1554167981.0,83.0,-16.27,-62.5,78.25,3.58
Charlestown,KN,40.0,1554167807.0,78.0,17.13,-62.62,78.8,16.11
El Badari,EG,,,,,,,
Isangel,VU,75.0,1554163200.0,66.0,-19.55,169.27,87.8,11.41
Yagodnoye,RU,76.0,1554168287.0,77.0,62.52,149.63,13.63,2.91
Pacific Grove,US,90.0,1554168160.0,52.0,36.62,-121.92,66.0,4.7
Chara,RU,0.0,1554168290.0,71.0,56.9,118.26,9.4,2.24
Asau,TV,,,,,,,
Kruisfontein,ZA,80.0,1554168127.0,87.0,-34.0,24.73,55.75,4.25
Benghazi,LY,92.0,1554168294.0,100.0,32.12,20.07,60.07,23.26
Chulym,RU,0.0,1554168295.0,84.0,55.09,80.97,26.77,12.41
Trinidad,BO,0.0,1554168104.0,79.0,-14.83,-64.9,82.57,5.59
Barabai,ID,92.0,1554168298.0,96.0,-2.59,115.38,75.1,2.68
Aksarka,RU,20.0,1554168299.0,76.0,66.56,67.8,13.0,10.96
Provideniya,RU,75.0,1554165000.0,74.0,64.42,-173.23,33.8,8.95
Caconda,AO,76.0,1554168302.0,58.0,-13.73,15.06,63.67,3.24
Zhob,PK,0.0,1554168303.0,62.0,31.34,69.45,39.64,2.46
Arcachon,FR,0.0,1554168028.0,81.0,44.65,-1.18,55.0,2.24
Lazarev,RU,76.0,1554168306.0,81.0,52.23,141.51,25.87,5.93
Ruatoria,NZ,,,,,,,
Sysert,RU,0.0,1554165000.0,86.0,56.5,60.81,28.4,6.71
Kungurtug,RU,0.0,1554168310.0,64.0,50.6,97.53,10.21,2.91
Sehithwa,BW,12.0,1554168311.0,64.0,-20.47,22.7,69.97,10.96
Kuche,CN,,,,,,,
Dunedin,NZ,44.0,1554168277.0,79.0,-45.87,170.5,52.0,8.99
Havre-Saint-Pierre,CA,75.0,1554166320.0,63.0,50.23,-63.6,26.6,19.46
Maryland Heights,US,75.0,1554168245.0,42.0,38.71,-90.43,48.99,10.29
The Pas,CA,40.0,1554163200.0,74.0,53.82,-101.24,33.8,13.87
Laibin,CN,92.0,1554168319.0,99.0,23.74,109.23,63.22,3.69
Attawapiskat,CA,,,,,,,
Syasstroy,RU,24.0,1554168321.0,85.0,60.14,32.56,26.23,6.6
Alekseyevsk,RU,44.0,1554168322.0,78.0,57.84,108.35,30.55,9.17
Shiyan,CN,92.0,1554168124.0,70.0,32.65,110.78,49.36,1.68
Nouadhibou,MR,0.0,1554163200.0,88.0,20.93,-17.03,64.4,8.05
Padang,ID,20.0,1554163200.0,88.0,-0.92,100.36,77.0,2.24
Nosy Varika,MG,32.0,1554168328.0,100.0,-20.58,48.53,74.38,1.79
Belaya Gora,RU,24.0,1554168329.0,85.0,68.54,146.19,9.13,7.61
Koslan,RU,48.0,1554168330.0,74.0,63.46,48.9,24.52,7.38
Comodoro Rivadavia,AR,0.0,1554163200.0,49.0,-45.87,-67.48,69.8,13.87
Carutapera,BR,92.0,1554168333.0,99.0,-1.2,-46.02,76.27,4.7
Leningradskiy,RU,56.0,1554168334.0,98.0,69.38,178.42,18.76,11.74
Matamoros,MX,75.0,1554168198.0,22.0,25.53,-103.23,78.8,6.93
Port Macquarie,AU,90.0,1554168305.0,88.0,-31.43,152.91,68.0,8.05
Puerto Del Rosario,ES,8.0,1554166800.0,82.0,28.5,-13.86,64.4,10.29
Semnan,IR,0.0,1554166800.0,35.0,35.58,53.39,55.4,9.17
Vestmannaeyjar,IS,0.0,1554168145.0,100.0,63.44,-20.27,31.72,18.79
Rawson,AR,64.0,1554168342.0,36.0,-43.3,-65.11,71.05,4.59
Khasan,RU,0.0,1554168343.0,77.0,42.43,130.64,35.95,7.83
Byron Bay,AU,75.0,1554168184.0,88.0,-28.65,153.62,73.4,9.4
Mitsamiouli,KM,20.0,1554168346.0,100.0,-11.38,43.28,81.13,4.81
Lircay,PE,92.0,1554168347.0,100.0,-12.99,-74.72,39.19,3.36
Namibe,AO,0.0,1554168349.0,99.0,-15.19,12.15,79.6,12.41
Abu Samrah,QA,,,,,,,
Jawhar,SO,0.0,1554168351.0,86.0,2.78,45.5,75.55,7.83
Santa Cruz De La Palma,ES,90.0,1554168302.0,67.0,28.68,-17.76,59.0,9.17
Tarragona,PH,56.0,1554168354.0,100.0,7.05,126.45,76.27,7.61
Hernani,PH,88.0,1554168355.0,93.0,11.32,125.62,77.62,10.51
Auki,SB,56.0,1554168356.0,100.0,-8.77,160.7,81.31,3.58
Koungou,YT,20.0,1554166800.0,83.0,-12.73,45.2,82.4,6.93
Erenhot,CN,0.0,1554168359.0,63.0,43.65,111.97,26.5,2.35
Vadlapudi,IN,0.0,1554168360.0,86.0,14.32,79.8,75.82,8.61
Faanui,PF,48.0,1554168361.0,100.0,-16.48,-151.75,84.37,6.26
Beidao,CN,92.0,1554168363.0,92.0,34.57,105.89,44.95,3.58
Selty,RU,0.0,1554168364.0,78.0,57.31,52.14,19.93,2.57
Khani,RU,,,,,,,
Kidal,ML,0.0,1554168367.0,29.0,18.44,1.41,79.51,10.07
Kamenskoye,RU,,,,,,,
Grindavik,IS,20.0,1554168115.0,74.0,63.84,-22.43,30.99,24.16
Redondela,ES,0.0,1554168370.0,87.0,42.28,-8.61,57.0,4.7
Vaitape,PF,100.0,1554168277.0,100.0,-16.52,-151.75,81.67,8.39
Palmares Do Sul,BR,0.0,1554167715.0,93.0,-30.26,-50.51,69.01,1.01
Port Lincoln,AU,0.0,1554168374.0,88.0,-34.72,135.86,65.74,12.64
Praia Da Vitoria,PT,75.0,1554167978.0,82.0,38.73,-27.07,55.99,27.07
Margate,ZA,76.0,1554168125.0,84.0,-30.86,30.37,69.07,16.11
Mpophomeni,ZA,92.0,1554168300.0,31.0,-29.57,30.18,60.01,2.91
Tibati,CM,0.0,1554168379.0,36.0,6.47,12.63,70.06,5.37
Victor Harbor,AU,0.0,1554168322.0,35.0,-35.55,138.62,77.0,13.87
Vao,NC,8.0,1554168382.0,100.0,-22.67,167.48,77.26,11.97
Monte Alto,BR,8.0,1554168383.0,63.0,-21.27,-48.5,74.92,5.26
Coquimbo,CL,90.0,1554163200.0,87.0,-29.95,-71.34,59.0,5.82
Lagoa,PT,0.0,1554168130.0,87.0,37.14,-8.45,55.99,6.93
Kukuna,SL,8.0,1554168387.0,78.0,8.64,-12.57,81.58,4.81
Pinawa,CA,36.0,1554168388.0,67.0,50.15,-95.88,36.94,15.32
Chagda,RU,,,,,,,
Chuy,UY,20.0,1554168391.0,92.0,-33.69,-53.46,67.0,7.72
Les Cayes,HT,24.0,1554168392.0,99.0,18.19,-73.75,80.23,6.26
Norman Wells,CA,75.0,1554163200.0,73.0,65.28,-126.83,26.6,17.22
Cambridge,US,1.0,1554168362.0,62.0,41.3,-90.19,48.2,8.05
Klyuchi,RU,0.0,1554168396.0,77.0,52.25,79.17,30.73,2.91
Fez,MA,0.0,1554166800.0,93.0,34.03,-5.02,50.0,8.05
Leutkirch,DE,24.0,1554168368.0,86.0,47.83,10.02,46.0,2.24
Yanchukan,RU,,,,,,,
Victoria Point,AU,40.0,1554168389.0,61.0,-27.58,153.3,80.01,10.29
Dunmore East,IE,76.0,1554168386.0,81.0,52.15,-6.99,43.0,5.99
Matara,LK,0.0,1554168111.0,99.0,5.95,80.54,76.9,2.8
Haines Junction,CA,0.0,1554168405.0,39.0,60.75,-137.51,48.37,2.8
Basco,PH,44.0,1554168407.0,100.0,20.45,121.97,76.0,25.39
Garowe,SO,12.0,1554168408.0,91.0,8.41,48.48,67.18,6.15
Florence,US,1.0,1554168404.0,56.0,34.2,-79.77,46.4,4.7
Grand River South East,MU,,,,,,,
Yarkovo,RU,0.0,1554165000.0,86.0,54.81,82.6,28.4,8.95
Tabou,CI,8.0,1554168413.0,96.0,4.42,-7.36,84.64,9.4
Cairns,AU,75.0,1554168073.0,94.0,-16.92,145.77,77.0,12.75
La Asuncion,VE,0.0,1554168416.0,96.0,11.03,-63.86,77.89,20.47
Port Blair,IN,48.0,1554168417.0,100.0,11.67,92.75,83.2,5.59
Cabedelo,BR,0.0,1554163200.0,94.0,-6.97,-34.84,77.0,4.7
Ayios Kirikos,GR,,,,,,,
Castro Alves,BR,80.0,1554168421.0,81.0,-12.76,-39.43,77.89,7.16
College,US,1.0,1554168336.0,49.0,64.86,-147.8,53.6,4.03
Liwale,TZ,88.0,1554168424.0,96.0,-9.8,37.92,70.6,1.68
Batouri,CM,56.0,1554168425.0,82.0,4.44,14.36,76.18,2.68
Verkhoyansk,RU,0.0,1554168289.0,66.0,67.55,133.39,13.9,3.58
Lata,SB,,,,,,,
Buraydah,SA,40.0,1554166800.0,44.0,26.33,43.97,59.0,6.93
Ucluelet,CA,20.0,1554168403.0,54.0,48.94,-125.55,64.0,5.82
Buta,CD,44.0,1554168431.0,92.0,2.79,24.73,71.95,3.13
Jacareacanga,BR,0.0,1554168432.0,89.0,-6.22,-57.76,79.15,1.9
Fajardo,US,,,,,,,
Warqla,DZ,,,,,,,
Chaochou,TW,,,,,,,
Kon Tum,VN,44.0,1554168437.0,90.0,14.36,108.0,65.02,2.57
Guasdualito,VE,75.0,1554163200.0,74.0,7.24,-70.73,84.2,6.49
San Policarpo,PH,92.0,1554168440.0,98.0,12.18,125.51,78.16,12.53
Muravlenko,RU,92.0,1554168441.0,96.0,63.79,74.5,29.56,4.14
Ballina,AU,75.0,1554168184.0,88.0,-28.87,153.57,69.01,9.4
Novikovo,RU,0.0,1554168444.0,67.0,51.15,37.89,33.25,11.74
Morwell,AU,8.0,1554167704.0,58.0,-38.24,146.4,70.0,4.0
Ancud,CL,90.0,1554163200.0,100.0,-41.87,-73.83,51.8,12.75
Lukovetskiy,RU,20.0,1554165000.0,68.0,64.29,41.92,24.8,4.47
General Roca,AR,0.0,1554166800.0,72.0,-39.03,-67.58,66.2,2.24
Port Hardy,CA,20.0,1554163200.0,44.0,50.7,-127.42,59.0,4.7
Valparaiso,CL,0.0,1554163200.0,87.0,-33.04,-71.63,59.0,4.7
Pingliang,CN,76.0,1554168453.0,71.0,35.54,106.68,43.42,4.59
Motygino,RU,48.0,1554168454.0,84.0,58.18,94.69,29.2,4.92
Ixtapa,MX,5.0,1554168313.0,73.0,20.71,-105.21,77.0,9.17
Puerto Leguizamo,CO,36.0,1554168457.0,71.0,-0.19,-74.78,84.37,2.91
Takoradi,GH,32.0,1554168458.0,100.0,4.89,-1.75,82.12,8.28
Necochea,AR,0.0,1554168347.0,54.0,-38.55,-58.74,72.67,10.74
Honolulu,US,40.0,1554168272.0,57.0,21.3,-157.86,82.4,9.17
Emerald,AU,0.0,1554167931.0,57.0,-23.53,148.16,77.0,11.41
Portland,AU,56.0,1554168441.0,78.0,-33.35,149.98,63.0,1.01
High Level,CA,75.0,1554166800.0,64.0,58.52,-117.13,37.4,12.75
Sayyan,YE,0.0,1554168465.0,84.0,15.17,44.32,46.75,1.9
Swarzedz,PL,0.0,1554168420.0,44.0,52.41,17.09,37.99,16.11
Lappeenranta,FI,0.0,1554168305.0,68.0,61.06,28.19,30.99,9.17
Jackson,US,1.0,1554168321.0,43.0,35.61,-88.82,51.8,5.82
Soledade,BR,0.0,1554166800.0,88.0,-7.06,-36.37,73.4,6.93
Nuuk,GL,88.0,1554166200.0,85.0,64.17,-51.74,21.2,23.04
Batemans Bay,AU,0.0,1554168102.0,68.0,-35.71,150.18,71.01,4.0
Ushtobe,KZ,92.0,1554168475.0,100.0,45.25,77.98,42.25,5.14
Poum,NC,12.0,1554168476.0,100.0,-20.23,164.02,80.05,6.26
Hobyo,SO,0.0,1554168477.0,91.0,5.35,48.53,77.44,8.05
Biloela,AU,0.0,1554168263.0,60.0,-24.4,150.51,74.02,12.41
Codrington,AG,,,,,,,
Bertoua,CM,20.0,1554168481.0,81.0,4.58,13.68,71.14,3.13
Simbahan,PH,56.0,1554168482.0,98.0,6.3,120.58,81.85,12.08
Dutlwe,BW,44.0,1554168483.0,75.0,-23.98,23.93,67.27,2.91
Heihe,CN,92.0,1554168485.0,97.0,33.22,106.45,49.99,2.68
Waipawa,NZ,32.0,1554168137.0,69.0,-39.94,176.59,61.0,1.01
Rajanpur,PK,0.0,1554168487.0,43.0,29.1,70.33,67.09,2.13
Teguise,ES,8.0,1554166800.0,77.0,29.06,-13.56,62.6,6.93
Manaure,CO,20.0,1554168490.0,90.0,11.78,-72.45,80.23,24.83
Mumford,GH,0.0,1554168491.0,91.0,5.26,-0.76,80.14,7.94
Ugoofaaru,MV,0.0,1554168493.0,100.0,5.67,73.0,83.02,2.13
San Cristobal,EC,92.0,1554168494.0,100.0,-1.02,-79.44,63.76,2.13
Samarai,PG,92.0,1554168495.0,100.0,-10.62,150.67,77.89,20.13
Bargal,SO,,,,,,,
Nemsova,SK,36.0,1554168427.0,64.0,48.97,18.12,37.4,1.12
Vanimo,PG,56.0,1554168499.0,97.0,-2.67,141.3,83.83,15.1
Fernley,US,90.0,1554168365.0,66.0,39.61,-119.25,59.0,9.17
Venado Tuerto,AR,76.0,1554168475.0,60.0,-33.75,-61.97,72.0,7.83
Mayahi,NE,0.0,1554168503.0,22.0,13.95,7.67,76.81,10.18
Cabo San Lucas,MX,5.0,1554168059.0,69.0,22.89,-109.91,80.01,3.36
Anito,PH,56.0,1554168505.0,94.0,12.45,125.29,80.86,17.0
El Monte,CL,0.0,1554168468.0,60.0,-33.68,-70.98,75.0,8.05
Kargil,IN,32.0,1554168508.0,85.0,34.57,76.1,7.15,1.34
Chunskiy,RU,0.0,1554168509.0,77.0,56.08,99.63,23.35,3.91
Lagos,PT,0.0,1554168429.0,87.0,37.1,-8.67,55.99,6.93
Boyolangu,ID,88.0,1554168512.0,97.0,-8.09,111.9,70.96,4.59
Yarada,IN,20.0,1554165000.0,88.0,17.65,83.27,78.8,4.7
Tahoua,NE,0.0,1554168514.0,38.0,14.89,5.26,75.37,5.37
Rognan,NO,75.0,1554168048.0,93.0,67.1,15.4,39.2,23.04
Sydney,AU,75.0,1554168421.0,68.0,-33.85,151.22,73.99,10.29
Muyezerskiy,RU,64.0,1554168518.0,85.0,63.93,31.65,28.93,7.49
Burnie,AU,24.0,1554168484.0,53.0,-41.05,145.91,63.0,1.01
Ambon,ID,40.0,1554165000.0,74.0,-3.7,128.18,86.0,4.7
Tumbagaan,PH,24.0,1554168522.0,100.0,5.37,120.31,81.22,4.47
Honiara,SB,88.0,1554168523.0,84.0,-9.43,159.96,81.58,2.91
Wanning,CN,92.0,1554168525.0,100.0,18.8,110.4,72.49,5.37
Zabol,IR,0.0,1554163200.0,52.0,31.03,61.49,64.4,6.93
Gimli,CA,32.0,1554168325.0,69.0,50.63,-96.99,37.99,15.66
Wewak,PG,64.0,1554168529.0,87.0,-3.55,143.63,80.5,2.57
Hoquiam,US,75.0,1554168517.0,93.0,46.98,-123.89,69.8,6.93
Ahumada,MX,,,,,,,
Gaoua,BF,32.0,1554168532.0,65.0,10.33,-3.18,78.52,2.8
Bontang,ID,76.0,1554168534.0,100.0,0.12,117.47,77.89,4.92
Usinsk,RU,80.0,1554168535.0,82.0,66.0,57.56,22.09,12.53
Gat,LY,,,,,,,
Sao Raimundo Das Mangabeiras,BR,88.0,1554168537.0,95.0,-7.02,-45.48,73.84,2.91
Sorvag,FO,,,,,,,
Senador Jose Porfirio,BR,48.0,1554168540.0,88.0,-2.59,-51.95,79.69,4.36
Saquarema,BR,40.0,1554166800.0,73.0,-22.93,-42.51,77.0,2.24
Hunchun,CN,0.0,1554168543.0,53.0,42.86,130.36,34.78,5.37
Dalvik,IS,90.0,1554166800.0,92.0,65.97,-18.53,28.4,17.22
Bekwai,GH,44.0,1554168545.0,90.0,6.46,-1.58,75.19,4.81
Vokhma,RU,44.0,1554168546.0,100.0,58.93,46.76,24.97,2.57
Hit,IQ,48.0,1554168548.0,88.0,33.64,42.83,47.47,2.57
Kochevo,RU,0.0,1554168549.0,80.0,59.6,54.31,21.73,6.38
Aktash,UZ,,,,,,,
Adeje,ES,75.0,1554168380.0,93.0,28.12,-16.73,62.6,5.82
Karratha,AU,0.0,1554168422.0,74.0,-20.74,116.85,81.31,6.15
Fortuna,US,90.0,1554168525.0,100.0,40.6,-124.16,57.99,4.7
Lasa,CN,,,,,,,
Reconquista,AR,32.0,1554168557.0,89.0,-29.14,-59.64,73.93,5.93
Shahr-E Babak,IR,24.0,1554168558.0,58.0,30.12,55.12,55.48,18.12
Hofn,IS,0.0,1554168559.0,100.0,64.25,-15.21,34.33,18.34
San Pedro,BZ,0.0,1554167825.0,83.0,17.92,-87.97,81.0,5.82
Paamiut,GL,92.0,1554168562.0,89.0,61.99,-49.67,34.06,46.3
Kurchum,KZ,0.0,1554168563.0,80.0,48.57,83.65,33.7,2.91
Yulara,AU,0.0,1554163200.0,41.0,-25.24,130.99,73.4,17.22
Bandiagara,ML,88.0,1554163200.0,33.0,14.35,-3.61,89.6,9.17
Solnechnyy,RU,76.0,1554168567.0,71.0,50.72,136.64,27.76,6.15
Laiyang,CN,44.0,1554168568.0,56.0,36.98,120.7,42.25,8.95
Lethem,GY,8.0,1554168569.0,36.0,3.38,-59.8,91.39,16.11
Agua Dulce,MX,90.0,1554165840.0,78.0,18.14,-94.15,73.4,17.22
Sisimiut,GL,36.0,1554168572.0,100.0,66.94,-53.67,9.13,4.14
Siguiri,GN,56.0,1554168574.0,80.0,11.42,-9.17,76.45,5.93
Galgani,SD,,,,,,,
Noumea,NC,75.0,1554166800.0,55.0,-22.28,166.46,89.6,3.36
Faya,TD,,,,,,,
Bougouni,ML,32.0,1554168579.0,81.0,11.42,-7.49,75.37,2.68
Katobu,ID,92.0,1554168580.0,100.0,-4.94,122.53,80.68,4.36
Zlitan,LY,64.0,1554168581.0,96.0,32.47,14.57,57.01,7.61
Port Shepstone,ZA,76.0,1554168459.0,84.0,-30.74,30.45,69.07,16.11
Hualmay,PE,24.0,1554168584.0,82.0,-11.1,-77.61,69.07,6.15
Luba,GQ,20.0,1554166800.0,88.0,3.46,8.55,80.6,5.82
